time,Sw,bulk_vel_x,bulk_vel_y,bulk_vel_z,h_w,heat_joules_extracted_this_timestep_h2o,mass_kg_h2o_extracted_this_timestep,mu_w,pressure_injection_point,pressure_middle,pressure_prod_point,rhow,temperature,temperature_injection_point,temperature_middle
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31557600,1,2.2786362801164e-09,5.4416770384543e-09,0,560757.93873453,0,0,0.00022850419706186,37659164.552846,38565005.956175,39455276.361502,956.40248294446,400.08561071817,400.0570603753,400.07142605358
94672800,1,7.4574342004821e-10,3.0464705749757e-09,0,561048.37378045,0,0,0.00022858387745321,39057177.482111,39456498.237918,39848329.585357,956.56558264175,400.09270474503,400.07923847159,400.0859675228
220903200,1,4.5130623871676e-10,2.4532839924583e-09,0,560535.03925145,0,0,0.00022843314017691,38769681.375147,38983349.391811,39190424.634492,956.26695502992,400.08394975943,400.07574205723,400.07982378639
473364000,1,3.8856283777205e-10,2.0305897005515e-09,0,560080.89140548,0,0,0.00022829700195535,38259475.341024,38431843.016174,38598629.662873,955.99946345439,400.07691066978,400.06928756931,400.07307723743
978285600,1,2.5594704554616e-10,1.3351229019267e-09,0,559380.91520888,0,0,0.00022808943749411,37469760.59842,37582716.475802,37691017.252374,955.58875782447,400.06530277304,400.05875264692,400.06203377931
1609005600,1,2.0122685562308e-10,1.0211888551128e-09,0,559064.92174694,0,0,0.00022799223650007,37099093.91191,37189363.104505,37275006.036371,955.39940406622,400.06106567614,400.05452581805,400.05783540322
2239725600,1,1.6632394245624e-10,8.4735350040732e-10,0,558896.01458027,0,0,0.00022793824749705,36897800.930443,36975666.613396,37049161.12048,955.29599174563,400.05938685046,400.05262511406,400.05607161445
2870445600,1,1.4227723307003e-10,7.372730295037e-10,0,558793.05994061,0,0,0.00022790343904093,36771689.924382,36842116.92674,36908200.030008,955.23094998351,400.05888950509,400.05171138112,400.05539642267
3501165600,1,1.2492063303532e-10,6.6256445118323e-10,0,558726.56292123,0,0,0.00022787840577697,36685036.573554,36750996.652804,36812703.156316,955.18627012246,400.0592339904,400.05129038146,400.05540295859
4131885600,1,1.0919150402445e-10,6.0195879575606e-10,0,558677.20706995,0,0,0.00022785621544844,36614794.64973,36677300.401171,36735533.946666,955.14933832529,400.0603795112,400.05103119779,400.05592941684
4762605600,1,9.696374788399e-11,5.5690970263925e-10,0,558649.39424258,0,0,0.00022783590441453,36561895.961107,36622315.907937,36678427.694274,955.12038659001,400.06296144081,400.05097736873,400.05735101527
5393325600,1,8.6438280725147e-11,5.2162514632958e-10,0,558641.49942427,0,0,0.0002278138407335,36519922.882928,36579040.382402,36633789.757557,955.09517699729,400.06773612858,400.05105323683,400.06006330866
6024045600,1,7.6598817047838e-11,4.9185230204995e-10,0,558654.96412082,0,0,0.00022778621991467,36484162.737541,36542375.228518,36596107.953082,955.07014576667,400.07579715135,400.05120973391,400.06466536487
6654765600,1,6.783898021637e-11,4.6661009530094e-10,0,558696.12129743,0,0,0.00022774955839995,36453445.551514,36511135.566787,36564232.166556,955.04342789567,400.08862903309,400.05146065612,400.07200461021
7285485600,1,6.0184207646855e-11,4.4541625134749e-10,0,558773.10778517,0,0,0.00022769989403352,36427201.723563,36484733.590845,36537575.159451,955.01315671481,400.10803318214,400.0518412751,400.08311899228
7916205600,1,5.3117387553574e-11,4.272555056256e-10,0,558894.57739146,0,0,0.00022763259542584,36404325.571936,36461945.111122,36514768.524851,954.97689927826,400.13606407654,400.05239374828,400.09919521294
8546925600,1,4.6396556510071e-11,4.1128925407943e-10,0,559070.21010475,0,0,0.00022754274011259,36383889.743004,36441755.773826,36494703.600981,954.93218520601,400.17498539383,400.05318201832,400.12154927575
9177645600,1,4.0075226517166e-11,3.9712693957673e-10,0,559310.66570531,0,0,0.00022742536114941,36365456.137082,36423704.591166,36476909.420879,954.87674054804,400.22720584711,400.05430045081,400.15159304196
9808365600,1,3.4197602725281e-11,3.8461286900771e-10,0,559626.96627689,0,0,0.00022727553823672,36348852.894459,36407614.692478,36461212.244167,954.80839736122,400.29519932574,400.05587332779,400.1907881806
10439085600,1,2.8667554801669e-11,3.7352341187002e-10,0,560029.82599906,0,0,0.00022708846788101,36333832.74136,36393214.821963,36447314.130793,954.72496482137,400.3814234985,400.05805129508,400.24059783464
11069805600,1,2.336256117562e-11,3.6356415330472e-10,0,560529.36621501,0,0,0.00022685961939846,36320068.244057,36380145.647774,36434819.627573,954.62429703712,400.488250822,400.06101210702,400.30244692137
11700525600,1,1.8215456197139e-11,3.545085324254e-10,0,561135.01506203,0,0,0.00022658490305327,36307308.336917,36368132.271264,36423428.514983,954.50442579355,400.61791257991,400.06496310402,400.37769054055
12331245600,1,1.3239827906784e-11,3.4623329229056e-10,0,561855.36116757,0,0,0.00022626077749526,36295413.825857,36357027.513965,36412989.500563,954.36361873127,400.77245347891,400.07014091827,400.46758708064
12961965600,1,8.4561392854057e-12,3.3868782215921e-10,0,562697.97921362,0,0,0.0002258843036329,36284326.237565,36346770.390889,36403442.756383,954.20037625153,400.95369693499,400.07680926753,400.5732768538
13592685600,1,3.8605456920382e-12,3.3181563981868e-10,0,563669.27044697,0,0,0.00022545316401821,36273983.678639,36337294.63127,36394718.805842,954.01339981859,401.16322034549,400.08525508516,400.69576602079
14223405600,1,-5.8067187576497e-13,3.2552508710842e-10,0,564774.38711066,0,0,0.00022496567312244,36264282.667061,36328486.305933,36386692.809587,953.80157812394,401.40234038981,400.09578471489,400.83591646823
14854125600,1,-4.8975689537123e-12,3.1972184460673e-10,0,566017.27771771,0,0,0.00022442078829584,36255119.736804,36320231.825535,36379240.631595,953.56401215969,401.67210944824,400.1087209599,400.99444244957
15484845600,1,-9.0981107589351e-12,3.1434078208792e-10,0,567400.75456261,0,0,0.00022381809713627,36246421.971655,36312451.888497,36372277.456469,953.30002605785,401.97332026136,400.12439973667,401.17191179905
16115565600,1,-1.3182792289553e-11,3.0935127853309e-10,0,568926.56223134,0,0,0.00022315778201026,36238154.356765,36305108.53229,36365763.082078,953.0091580825,402.30651672428,400.14316627955,401.36875074536
16746285600,1,-1.7152614723413e-11,3.0472301954112e-10,0,570595.42234173,0,0,0.0002224405650823,36230283.293319,36298165.537061,36359659.506381,952.6911277122,402.67200759285,400.16537061955,401.58524995587
17377005600,1,-2.1020442541619e-11,3.0042622710199e-10,0,572407.11892193,0,0,0.0002216676553971,36222776.9227,36291587.77139,36353927.908081,952.34581901234,403.06988367665,400.19136375323,401.82157319527
18007725600,1,-2.4801528504342e-11,2.9642743413747e-10,0,574360.58631403,0,0,0.00022084069154696,36215598.078469,36285334.099857,36348522.858436,951.97326209577,403.50003662325,400.22149392833,402.07776722869
18638445600,1,-2.8504347704216e-11,2.927018720803e-10,0,576454.02093073,0,0,0.00021996168618327,36208718.31663,36279373.402203,36343410.273246,951.57362455681,403.96217981827,400.25610352508,402.3537727642
19269165600,1,-3.2137647894963e-11,2.8922631677427e-10,0,578684.96854081,0,0,0.00021903296508935,36202110.939872,36273676.324349,36338557.615575,951.14719084095,404.45586869634,400.29552594651,402.64943541375
19899885600,1,-3.5705238528766e-11,2.8597226107695e-10,0,581050.41172609,0,0,0.00021805710939538,36195744.850559,36268209.505996,36333929.623159,950.69434496188,404.98052055468,400.34008284838,402.96451664726
20530605600,1,-3.9206609700569e-11,2.8292916885644e-10,0,583546.88314604,0,0,0.00021703690427999,36189608.896992,36262961.381759,36329514.396258,950.21556668561,405.53543576788,400.39008230677,403.29870507444
21161325600,1,-4.2642085160134e-11,2.8008839820773e-10,0,586170.53038086,0,0,0.00021597528256671,36183692.623154,36257921.106611,36325300.972811,949.71140743376,406.11981604926,400.44581662154,403.65162677064
21792045600,1,-4.601367959853e-11,2.7743064591269e-10,0,588917.17612239,0,0,0.00021487527634,36177974.465213,36253065.815622,36321265.412122,949.18247207966,406.73278053301,400.50756053847,404.02285427881
22422765600,1,-4.9325498020375e-11,2.7494740001199e-10,0,591782.4109677,0,0,0.00021373997904398,36172445.379092,36248386.285643,36317397.930225,948.6294193811,407.37338286544,400.57557048271,404.41191483291
